HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Size(sqf)_bins,N_FacilitiesInApt_bins,N_FacilitiesNearBy(PublicOffice)_bins,N_SchoolNearBy(University)_bins
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,273451,1001-1500,4,2,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,547,119469,501-1000,3,5,2
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,98407,0-500,2,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,150442,501-1000,5,2,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,243362,1001-1500,5,2,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,374336,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,477876,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,291150,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,220353,501-1000,4,6,5
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,137610,501-1000,3,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,194690,1001-1500,4,6,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,349557,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,364601,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,318584,2001-2500,5,1,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,178761,501-1000,4,3,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,283185,501-1000,4,3,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,203539,1001-1500,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,203539,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,206194,501-1000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,211504,1001-1500,4,5,1
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,344247,501-1000,10,0,0
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,171681,501-1000,5,7,3
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,130973,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,433778,1501-2000,10,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,110619,501-1000,3,5,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,315044,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,216814,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,261061,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,420353,1501-2000,5,1,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,134513,501-1000,3,5,0
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,204424,2001-2500,4,6,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,286283,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,196460,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,374336,1501-2000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,268141,501-1000,9,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,442477,1001-1500,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,267256,501-1000,7,5,4
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,48672,501-1000,3,5,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,137168,501-1000,4,6,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,46902,0-500,3,7,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,234513,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,314690,1001-1500,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,180088,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,204424,501-1000,5,1,2
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,134513,1001-1500,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,491150,1501-2000,10,3,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,362831,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,327433,1501-2000,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,336283,1501-2000,10,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,129203,501-1000,3,5,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,356778,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,238938,1501-2000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,254867,501-1000,5,2,2
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,839,336283,501-1000,7,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,242477,501-1000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,166814,501-1000,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,267256,1001-1500,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,250442,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,228318,501-1000,8,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,232743,501-1000,10,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,111061,501-1000,3,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,389380,1001-1500,5,1,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,292035,1501-2000,4,6,5
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,226725,501-1000,10,0,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,159292,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,352212,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,185840,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,407964,2001-2500,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,276548,1001-1500,5,4,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,245132,501-1000,4,3,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,179646,501-1000,8,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,193362,501-1000,4,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,316814,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,228318,501-1000,8,3,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,221238,501-1000,3,3,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,87610,501-1000,3,5,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,283185,501-1000,7,5,3
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,131858,501-1000,3,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,158849,501-1000,3,5,4
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38495,0-500,3,7,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,241150,501-1000,8,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,162831,501-1000,5,7,3
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,322123,501-1000,9,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,303539,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,231858,501-1000,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,294690,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,256637,1501-2000,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,340707,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,218584,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,358407,1001-1500,5,1,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,95575,501-1000,5,7,3
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,278761,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,284955,1501-2000,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,157522,501-1000,8,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,146017,501-1000,3,7,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,361061,1001-1500,5,2,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65044,501-1000,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,61061,501-1000,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,349557,501-1000,7,5,3
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,76991,501-1000,5,7,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,357964,501-1000,7,5,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,429203,1501-2000,10,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,119469,501-1000,5,7,3
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,203539,501-1000,4,3,1
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,405309,1001-1500,5,4,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,72654,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,224778,501-1000,10,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,41061,0-500,3,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,119469,501-1000,3,5,4
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,202654,501-1000,4,3,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,199115,501-1000,4,6,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,149557,501-1000,3,5,4
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,101769,501-1000,3,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,86725,501-1000,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,339823,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,386469,1501-2000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,320353,1501-2000,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,245575,1001-1500,4,2,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,238938,1001-1500,8,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,230088,1001-1500,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,177433,501-1000,5,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,55752,0-500,3,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,116814,501-1000,3,7,5
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,73451,0-500,3,5,0
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,153982,501-1000,3,5,4
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,373451,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,234513,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,143805,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,407079,1001-1500,5,4,1
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,104424,501-1000,3,3,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,150442,501-1000,4,3,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,361061,1001-1500,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,230088,501-1000,7,5,4
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,95132,501-1000,3,5,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,182300,501-1000,5,2,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,343362,501-1000,9,7,5
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,130088,501-1000,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,331858,501-1000,9,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,198230,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,132300,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,469026,1001-1500,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,232743,501-1000,5,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,300884,1501-2000,5,1,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,263716,501-1000,9,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,276991,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,163716,501-1000,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,292035,1001-1500,4,5,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,276106,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,172566,1501-2000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,81415,501-1000,4,6,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,145575,501-1000,7,5,4
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,369911,501-1000,9,7,5
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,385840,1001-1500,8,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,174336,501-1000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,123893,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,116814,501-1000,4,6,5
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,382300,1001-1500,5,4,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,172566,1001-1500,4,5,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,185840,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,87610,501-1000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,325221,501-1000,9,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,169911,501-1000,7,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,247787,501-1000,5,2,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,159557,501-1000,5,2,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,1980,9,910,54867,501-1000,9,7,5
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,110619,501-1000,3,5,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153982,501-1000,7,5,4
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,136283,501-1000,3,5,4
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,54867,0-500,3,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,161946,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,187610,501-1000,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,264601,501-1000,5,2,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,192920,501-1000,5,2,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,261061,501-1000,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,194690,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,290265,1001-1500,4,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,177699,501-1000,5,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,188495,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,320353,1001-1500,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,245575,501-1000,7,5,4
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,202212,501-1000,4,3,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,287610,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,291415,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,194690,1001-1500,7,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,305309,1001-1500,4,5,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,283185,501-1000,4,2,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,233628,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,197345,1001-1500,4,5,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,138938,501-1000,3,7,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,84070,0-500,2,3,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,269911,501-1000,9,7,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,211504,501-1000,4,6,5
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,76106,501-1000,5,7,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,266371,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,185840,1001-1500,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,199115,501-1000,5,2,1
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,189380,501-1000,3,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,238938,501-1000,8,3,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,123893,501-1000,5,7,3
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,276991,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,296460,1001-1500,4,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,455752,1501-2000,5,4,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,223008,1001-1500,4,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,46017,0-500,3,7,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,285840,501-1000,5,2,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,242920,501-1000,5,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,212389,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207079,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,123008,501-1000,4,6,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,150442,501-1000,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,357522,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,406194,1001-1500,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,205309,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,255309,501-1000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,236283,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,293805,501-1000,8,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,69911,501-1000,3,5,0
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,472566,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,336283,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,250442,1001-1500,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,340707,1501-2000,10,3,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,351327,501-1000,9,7,5
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,296460,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,231858,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161061,501-1000,7,5,4
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,73008,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,141592,501-1000,5,2,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,46902,0-500,3,5,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,214159,501-1000,5,2,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,43185,0-500,3,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,262831,1001-1500,4,5,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,170353,501-1000,8,3,2
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,86725,501-1000,3,5,0
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,370796,501-1000,9,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,245132,501-1000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,161504,501-1000,4,6,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,165486,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,376106,501-1000,10,0,0
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,100000,501-1000,3,5,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,360176,1501-2000,5,4,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,206194,501-1000,7,5,4
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,44247,501-1000,3,5,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,196460,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,105309,501-1000,4,6,5
